workflowId,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,test_rmse,test_mae,test_r2,test_mse,test_explained_variance,test_max_error,test_mape,test_median_absolute_error,train_rmse,train_mae,train_r2,train_mse,feature_importance_mean,feature_importance_std,feature_importance_max,training_time_seconds,cv_rmse_mean,cv_mae_mean,cv_r2_mean,cv_mse_mean,baseline_rmse_mean,baseline_mae_mean,baseline_r2_mean,r2_diff_train_test,rmse_diff_train_test,sys_cpu_percent_avg,sys_mem_percent_avg,sys_mem_used_gb_before,sys_mem_used_gb_after,sys_mem_peak_gb,sys_mem_delta_gb
14,50,-1,10,1,log2,3.2322003285242253,0.7901223226048044,0.9690598828553125,10.447118963712109,0.9690636975809218,183.93357816291896,8487047221364.527,0.3028578271401763,2.4839405754033774,0.5353369730312701,0.982493178396792,6.169960782135261,0.06666666666666667,0.09222197415994106,0.3388806274653113,0.14429497718811035,4.239271194937407,0.8692541018275358,0.9538192131273867,17.97142026422603,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.013433295541479429,-0.7482597531208479,30.75,62.25,9.336074829101562,9.337432861328125,9.337432861328125,0.0013580322265625
15,50,-1,10,1,,1.9499991480695222,0.3726318322725062,0.9887385514559642,3.8024966774718623,0.9887394429382237,113.17304182369924,131288805905.26096,0.025852111777105335,1.554859502769041,0.22201126183191633,0.993140267077102,2.41758807335119,0.06666666666666667,0.23481111986641606,0.944947514385276,0.3010571002960205,3.2316695064223087,0.4241560861373371,0.9741320554403513,10.44368779873981,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.004401715621137781,-0.3951396453004812,30.35,63.400000000000006,9.572845458984375,9.51544189453125,9.572845458984375,-0.057403564453125
16,50,-1,10,2,sqrt,2.7852916103583807,0.8794042022643581,0.9770244056126856,7.757849354732781,0.9770276416265582,141.89810788100792,8796087961459.404,0.4187769728786668,2.9952121376564396,0.6740671809673385,0.9745445911598016,8.971295749564458,0.06666666666666667,0.09502016466844707,0.34910751665848544,0.1315767765045166,4.348918911776499,0.9422782855829415,0.9514851731425236,18.91309570120729,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,-0.0024798144528839217,0.20992052729805888,26.25,60.95,9.118301391601562,9.095733642578125,9.118301391601562,-0.0225677490234375
17,50,-1,10,2,log2,2.785291610358381,0.8794042022643581,0.9770244056126856,7.757849354732783,0.9770276416265582,141.89810788100795,8796087961459.404,0.41877697287866766,2.9952121376564396,0.6740671809673386,0.9745445911598016,8.971295749564458,0.06666666666666667,0.09502016466844707,0.34910751665848544,0.18291378021240234,4.348918911776499,0.9422782855829415,0.9514851731425236,18.91309570120729,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,-0.0024798144528839217,0.20992052729805843,16.65,60.7,9.014007568359375,9.111648559570312,9.111648559570312,0.0976409912109375
18,50,-1,10,2,,1.2521841010427923,0.36399822329058307,0.9953563253509468,1.5679650229043458,0.9953576322684671,36.88443424908422,48059123347.716,0.03307505827505963,2.103145292528004,0.24609250813565625,0.987449429856551,4.4232201214827045,0.06666666666666665,0.23685463497230155,0.9526596345164529,0.42750000953674316,3.252796590327137,0.4295828109737874,0.9739563573208395,10.58068565804385,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,-0.007906895494395716,0.8509611914852118,21.799999999999997,60.8,9.064697265625,9.100753784179688,9.100753784179688,0.0360565185546875
19,50,5,2,1,sqrt,5.708260434379209,2.94580595163668,0.9034987426554079,32.58423718669911,0.903499188576888,225.6094361431198,16241926350360.174,2.086248943474395,5.215650306289535,2.933418752614466,0.9228134137314814,27.203008117498122,0.06666666666666667,0.08704225992128858,0.31971479362488114,0.06578493118286133,5.966686009856729,2.8060736360551384,0.9028994685691261,35.60134194022002,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.019314671076073542,-0.49261012808967397,20.2,62.4,9.37640380859375,9.37640380859375,9.37640380859375,0.0
20,50,5,2,1,log2,5.708260434379209,2.94580595163668,0.9034987426554079,32.58423718669911,0.903499188576888,225.6094361431198,16241926350360.174,2.086248943474395,5.215650306289535,2.933418752614466,0.9228134137314814,27.203008117498122,0.06666666666666667,0.08704225992128858,0.31971479362488114,0.0661461353302002,5.96668600985673,2.8060736360551384,0.9028994685691261,35.601341940220024,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.019314671076073542,-0.49261012808967397,26.8,61.650000000000006,9.263076782226562,9.254669189453125,9.263076782226562,-0.0084075927734375
21,50,5,2,1,,2.975953708554532,1.644082249544109,0.9737712401733862,8.856300475459472,0.9737714014958289,111.19985545008834,7908318249732.16,1.038311411429122,2.8872761304106147,1.6445629323531428,0.9763461660537736,8.336363453238894,0.06666666666666667,0.23781357845278153,0.9561898325115107,0.13671517372131348,3.8746954490607757,1.7068588765735009,0.9601246503555287,15.013264822972285,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.0025749258803873243,-0.0886775781439173,17.75,61.55,9.2528076171875,9.248931884765625,9.2528076171875,-0.003875732421875
22,50,5,2,2,sqrt,5.1224497371629365,2.7128190386226065,0.922289299302424,26.239491309760638,0.9222918814249212,178.32167464235022,16644914843690.994,1.8491017603989128,5.255445559200287,2.731720107979919,0.92163105760105,27.619708025718015,0.06666666666666667,0.09160801972768275,0.3363353975572428,0.0834190845489502,5.948033225597065,2.7736822097301235,0.9040069048292503,35.379099252806625,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,-0.0006582417013739628,0.1329958220373504,19.4,62.45,9.416122436523438,9.416275024414062,9.416275024414062,0.000152587890625
23,50,5,2,2,log2,5.1224497371629365,2.7128190386226065,0.922289299302424,26.239491309760634,0.9222918814249212,178.3216746423502,16644914843690.994,1.849101760398911,5.255445559200287,2.731720107979919,0.92163105760105,27.619708025718015,0.06666666666666667,0.09160801972768275,0.3363353975572428,0.0646970272064209,5.948033225597065,2.773682209730124,0.9040069048292503,35.379099252806625,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,-0.0006582417013739628,0.1329958220373504,10.0,61.849999999999994,9.304229736328125,9.312225341796875,9.312225341796875,0.00799560546875
24,50,5,2,2,,2.5886309697584853,1.6265034142282557,0.9801543330447912,6.701010297592757,0.9801543383731951,32.072797555199145,7908318249732.157,1.038311411429115,3.2116123334894184,1.6443618046419062,0.9707334764923123,10.314453780621347,0.06666666666666667,0.2406359809524168,0.9668683425840062,0.15583276748657227,3.9132529995265464,1.7028410591285414,0.9597811105489467,15.313549038303512,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,-0.009420856552478818,0.6229813637309332,23.9,61.4,9.225112915039062,9.240692138671875,9.240692138671875,0.0155792236328125
25,50,5,5,1,sqrt,5.467969287274714,2.7972174553246965,0.9114522466603417,29.898688126579547,0.9114538478914788,215.98800852488336,16039091707961.31,1.9130427816317166,5.122623660020335,2.799399485987869,0.9255422677528427,26.241273162200134,0.06666666666666667,0.0901432969811889,0.3277223545434294,0.059986114501953125,5.909799542818312,2.734288674770004,0.9051298051024472,34.925730636295526,18.375768006327167,11.77846621920537,-3.7790888077093854e-05,0.014090021092500904,-0.3453456272543791,12.5,61.6,9.252227783203125,9.252227783203125,9.252227783203125,0.0
