workflowId,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,test_rmse,test_mae,test_mse,test_max_error,test_mape,test_median_absolute_error,train_rmse,train_mae,train_mse,feature_importance_std,feature_importance_max,training_time_seconds,cv_rmse_mean,cv_mae_mean,cv_mse_mean,r2_diff_train_test,rmse_diff_train_test,sys_cpu_percent_avg,cluster
18,50,-1,10,2,,1.099362501529254,0.1475742845248576,1.2085979097686586,137.76068111669036,1428099523474.8137,3.0198066269804264e-14,0.977461466387708,0.0944945682046192,0.9554309182728088,0.2404934001784524,0.9663910533435862,1.269291877746582,1.5517756752452432,0.1975082384497125,2.4080077462828307,0.0007294969361203,-0.1219010351415457,0.3,0
19,50,5,2,1,sqrt,5.822166331599627,2.775022204601609,33.89762079281226,494.39429463449824,17322616408050.604,1.9235436264970855,5.617413559558545,2.7847452838831765,31.55533509911221,0.0910979303488085,0.3366448854089228,0.2382559776306152,5.9548563283961915,2.944967612134424,35.46031389184017,0.0073359184932529,-0.2047527720410817,0.6,2
20,50,5,2,1,log2,5.822166331599627,2.775022204601609,33.89762079281226,494.39429463449824,17322616408050.604,1.9235436264970855,5.617413559558545,2.784745283883177,31.55533509911221,0.0910979303488085,0.3366448854089228,0.2395904064178466,5.9548563283961915,2.944967612134424,35.46031389184017,0.0073359184932529,-0.2047527720410817,0.45,2
21,50,5,2,1,,3.089757243191426,1.856924530691979,9.54659982185388,153.9252979927592,10359403108680.717,1.382141349571496,3.0555315034069785,1.8611612175672336,9.336272768312512,0.2450034320750344,0.983345527360708,0.6253232955932617,3.2407938524855524,1.862793678640136,10.50274479430815,0.0008266733509998,-0.0342257397844476,0.95,3
22,50,5,2,2,sqrt,5.8902029166824414,2.793730714985541,34.694490399694345,496.620956173436,16893923570113.797,1.9124987717518456,5.711799808688029,2.8052438065105014,32.624657054528605,0.088581168107365,0.3199424719349864,0.2532131671905517,5.873570831449893,2.882341898361018,34.49883431205899,0.0066050220139798,-0.1784031079944128,0.4499999999999999,2
23,50,5,2,2,log2,5.890202916682442,2.793730714985541,34.69449039969435,496.620956173436,16893923570113.797,1.9124987717518456,5.711799808688029,2.805243806510501,32.624657054528605,0.088581168107365,0.3199424719349864,0.2416090965270996,5.873570831449892,2.882341898361018,34.498834312058975,0.0066050220139798,-0.1784031079944137,0.4499999999999999,2
24,50,5,2,2,,3.08989171839039,1.856763344233081,9.547430831377516,157.3855579927592,10359403108680.725,1.382141349571496,3.0581224552106354,1.8611153363240485,9.352112951063525,0.2450353458503421,0.9834647403339236,0.6208183765411377,3.2363037875113627,1.862417107458104,10.473662205060393,0.0007852966008746,-0.0317692631797545,0.75,3
25,50,5,5,1,sqrt,5.827082548131838,2.736564469971466,33.95489102274263,495.4592517798481,16912234653005.707,1.86585844293198,5.634302399561014,2.7459512641411754,31.74536352969901,0.090018163617083,0.3220702332511027,0.2472643852233886,5.862806999103739,2.843774519646354,34.3725059087398,0.0069712246798463,-0.1927801485708231,0.3,2
26,50,5,5,1,log2,5.827082548131838,2.736564469971466,33.95489102274263,495.4592517798481,16912234653005.707,1.86585844293198,5.634302399561014,2.745951264141175,31.74536352969901,0.090018163617083,0.3220702332511027,0.2398312091827392,5.862806999103739,2.843774519646354,34.3725059087398,0.0069712246798463,-0.1927801485708231,0.3,2
27,50,5,5,1,,3.090080456059487,1.85698222916804,9.548597224920808,153.92529799275923,10359403108680.729,1.382141349571496,3.0562525515809726,1.8611817711632064,9.340679659045206,0.2450063270372459,0.9833563419245688,0.6303732395172119,3.237176332910461,1.862920918918889,10.479310610355618,0.0008200791014791,-0.0338279044785143,0.75,3
28,50,5,5,2,sqrt,5.813674509279116,2.735281621543262,33.79881129984178,495.52663981403606,16914524795684.477,1.8658979730571976,5.629798448268234,2.7442657365081873,31.694630568123426,0.0901449115454685,0.3227489228145749,0.2400436401367187,5.85479502577308,2.849738512855723,34.2786247938172,0.0066766269575186,-0.1838760610108822,0.75,2
29,50,5,5,2,log2,5.813674509279116,2.735281621543262,33.79881129984178,495.52663981403606,16914524795684.477,1.8658979730571996,5.629798448268236,2.744265736508188,31.694630568123433,0.0901449115454685,0.3227489228145749,0.2327425479888916,5.85479502577308,2.849738512855723,34.2786247938172,0.0066766269575186,-0.1838760610108805,0.4499999999999999,2
30,50,5,5,2,,3.089376752461026,1.8566958301982817,9.544248718646635,157.38555799275915,10359403108680.725,1.382141349571496,3.0584317530127225,1.8610931063335792,9.354004787836477,0.2450351845070735,0.9834641336665432,0.6142838001251221,3.23809616181507,1.86264673114451,10.485266753161486,0.0007712194824578,-0.0309449994483035,0.75,3
31,50,5,10,1,sqrt,5.809585942435827,2.7595370642502357,33.75128882254798,494.5361138322698,17099778458215.576,1.9001392759981872,5.610766251860244,2.7680100376327044,31.480697933013847,0.0899700202051446,0.3207740539620512,0.2426009178161621,5.862836412504725,2.817139611422943,34.37285079979127,0.0071343911432929,-0.1988196905755836,0.45,2
32,50,5,10,1,log2,5.8095859424358265,2.7595370642502353,33.75128882254797,494.5361138322698,17099778458215.572,1.9001392759981872,5.610766251860244,2.7680100376327044,31.480697933013847,0.0899700202051446,0.3207740539620512,0.2401890754699707,5.862836412504725,2.817139611422943,34.37285079979128,0.0071343911432929,-0.1988196905755828,0.8999999999999999,2
