workflowId,normalization,classifier,criterion,max_depth,n_estimators,fairness_method,random_state,test_Log_Loss,test_False_Positives,test_False_Negatives,test_Equal_Opportunity,test_Equalized_Odds,test_Predictive_Equality,test_Treatment_Equality,test_Conditional_Statistical_Parity,test_Overall_Accuracy_Equality,test_Test_Fairness,test_Well_Calibration,overfitting_Accuracy_diff,overfitting_F1_diff,overfitting_AUC_diff,system/cpu_utilization_percentage,cluster
76,standard,random_forest,log_loss,10,200,balanced_subsample,42,0.0703861176451225,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9390092248749996,0.0059428995886811,0.0049230769230769,0.0032626427406199,0.003781632653061,17.2,1
77,standard,random_forest,log_loss,10,200,balanced,42,0.0515567470754749,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9389035535790264,0.0059937748951525,0.0055384615384614,0.0036689767631471,0.0029061224489796,29.8,1
78,standard,random_forest,log_loss,10,200,,42,0.0567024649607416,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9377963785289511,0.0061549846402514,0.0055384615384614,0.0036689767631471,0.004045918367347,31.3,1
79,standard,random_forest,log_loss,20,200,balanced_subsample,42,0.0704579679170671,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9390938775510206,0.0059815076923076,0.0049230769230769,0.0032626427406199,0.0036612244897958,30.3,1
80,standard,random_forest,log_loss,20,200,balanced,42,0.0515242360770939,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9388089285714286,0.0060180153846153,0.0055384615384614,0.0036689767631471,0.0027071428571429,23.6,1
81,standard,random_forest,log_loss,20,200,,42,0.052472411225023,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9384147959183672,0.0061379692307692,0.0055384615384614,0.0036689767631471,0.002738775510204,30.4,1
82,minmax,random_forest,gini,3,50,balanced_subsample,42,0.1168373351045163,6,16,0.001938775510204,0.001938775510204,0.001938775510204,0.4545454545454545,0.0340861186389641,0.0004921507064364,0.8012327140267527,0.0224072036846752,0.0024547176960969,0.001651417992541,0.0028139475657685,44.1,0
83,minmax,random_forest,gini,3,50,balanced,42,0.1161591954114909,6,16,0.001938775510204,0.001938775510204,0.001938775510204,0.4545454545454545,0.0340861186389641,0.0004921507064364,0.8017621485317136,0.0221050420496866,0.0030704812428949,0.002063428207449,0.002797637978069,0.0,0
84,minmax,random_forest,gini,3,50,,42,0.0996536506019067,14,2,0.0333673469387755,0.0333673469387755,0.0333673469387755,0.75,0.0061630649476202,0.0084701726844584,0.7786278242458172,0.0192443509196518,-0.0018533535430087,-0.0012247957572995,0.0016726656215078,25.9,2
85,minmax,random_forest,gini,10,50,balanced_subsample,42,0.0532092374995412,7,2,0.0158673469387754,0.0158673469387754,0.0158673469387755,0.5555555555555556,0.0006277657713286,0.0040278649921507,0.9359126943600748,0.006817654736364,0.0049226979916634,0.0032578245147345,0.002384693877551,22.9,1
86,minmax,random_forest,gini,10,50,balanced,42,0.0727900242009529,6,2,0.0133673469387755,0.0133673469387755,0.0133673469387755,0.5,0.0001684871497728,0.0033932496075353,0.9362723125841016,0.006692622508679,0.0043073133762788,0.0028518204347753,0.0042091836734693,33.3,1
87,minmax,random_forest,gini,10,50,,42,0.0388381726365537,6,2,0.0133673469387755,0.0133673469387755,0.0133673469387755,0.5,0.0001684871497728,0.0033932496075353,0.9330029356846192,0.0068560170304294,0.0039994316028798,0.0026478637245662,0.0030438775510203,26.5,1
88,minmax,random_forest,gini,20,50,balanced_subsample,42,0.0535715902621786,7,3,0.0150510204081631,0.0150510204081632,0.0150510204081632,0.4,0.0018800700249032,0.0038206436420722,0.9337836734693878,0.0070889846153846,0.0061538461538461,0.0040749796251018,0.0022602040816326,22.2,1
89,minmax,random_forest,gini,20,50,balanced,42,0.0736962280009306,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9339816326530612,0.0068219076923076,0.0049230769230769,0.0032626427406199,0.0034020408163265,46.4,1
90,minmax,random_forest,gini,20,50,,42,0.0740037522537,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.9332377551020408,0.0070498461538461,0.0055384615384614,0.0036689767631471,0.0033336734693877,25.0,1
91,minmax,random_forest,entropy,3,50,balanced_subsample,42,0.1184234814411428,7,18,0.0028061224489795,0.0028061224489796,0.0028061224489795,0.44,0.0380295578349907,0.0007123233908947,0.7976786414624426,0.0233075280167805,0.0027614626752556,0.001850184451445,0.0026065319277326,0.0,0
92,minmax,random_forest,entropy,3,50,balanced,42,0.117155068551811,7,22,0.0004591836734694,0.0004591836734694,0.0004591836734693,0.5172413793103449,0.0472269242258288,0.0001165620094192,0.8006652174419737,0.0231516513673997,0.0052230011367941,0.0035097328744446,0.0024963142917696,0.0,0
93,minmax,random_forest,entropy,3,50,,42,0.1029992628746016,17,3,0.0400510204081632,0.0400510204081632,0.0400510204081632,0.7,0.0059487218089132,0.010166797488226,0.7725252740963335,0.0206010592575749,-0.0009312239484652,-0.0006105372200359,0.0024076923373363,64.4,2
94,minmax,random_forest,entropy,10,50,balanced_subsample,42,0.0696966601566824,5,3,0.0100510204081631,0.0100510204081632,0.0100510204081632,0.25,0.0034627088171091,0.0025514128728414,0.9399233679669148,0.0059634418525772,0.0049230769230769,0.0032626427406199,0.0032122448979592,0.0,1
95,minmax,random_forest,entropy,10,50,balanced,42,0.0706659455180134,6,3,0.0125510204081632,0.0125510204081632,0.0125510204081632,0.3333333333333333,0.0026706815776302,0.0031860282574569,0.939924698842426,0.006420566751624,0.0055384615384614,0.0036689767631471,0.0032591836734694,42.3,1
96,minmax,random_forest,entropy,10,50,,42,0.0563484464426262,6,4,0.0117346938775509,0.011734693877551,0.011734693877551,0.2,0.0051602757061591,0.0029788069073783,0.9369202696067118,0.0065645055479993,0.0061538461538461,0.0040783034257748,0.0029724489795919,11.5,1
