workflowId,normalization,classifier,n_estimators,criterion,max_depth,fairness_method,random_state,training_time_seconds,test_AUC_ROC,test_Accuracy,test_Precision,test_Recall,test_F1_Score,test_Log_Loss,test_Matthews_Corrcoef,test_Cohen_Kappa,test_Balanced_Accuracy,test_True_Positives,test_True_Negatives,test_False_Positives,test_False_Negatives,test_Specificity,test_Sensitivity,test_Statistical_Parity,test_Disparate_Impact,test_Equal_Opportunity,test_Equalized_Odds,test_Predictive_Equality,test_Treatment_Equality,test_Equal_Negative_Predictive_Value,test_Conditional_Statistical_Parity,test_Conditional_Use_Accuracy_Equality,test_Overall_Accuracy_Equality,test_Test_Fairness,test_Well_Calibration,test_Balance_for_Positive_Class,test_Balance_for_Negative_Class,train_Accuracy,train_F1_Score,train_AUC_ROC,train_Precision,train_Recall,overfitting_Accuracy_diff,overfitting_F1_diff,overfitting_AUC_diff,learning_curve_train_score,learning_curve_test_score,system/cpu_utilization_percentage,system/system_memory_usage_megabytes,system/system_memory_usage_percentage,system/disk_usage_megabytes,system/network_receive_megabytes,system/network_transmit_megabytes
132,minmax,random_forest,100,log_loss,10,None,42,0.17248106002807617,0.9967775510204082,0.9944615384615385,0.995114006514658,0.9975510204081632,0.9963310232368529,0.05638907118871884,0.9850509954968912,0.9850387458121276,0.9912755102040816,1222,394,6,3,0.985,0.9975510204081632,0.25569230769230766,0.3232899022801303,0.01255102040816325,0.012551020408163263,0.012551020408163265,0.3333333333333333,0.4924433249370277,0.002670681577630285,0.990228013029316,0.003186028257456952,0.9381729397110333,0.006308748354776657,0.9975510204081632,0.985,1.0,1.0,1.0,1.0,1.0,0.005538461538461492,0.003668976763147147,0.0032224489795917854,0.9996920708237106,0.993535050454882,11.4,8357.671875,66.2,415377.390625,4231.0947265625,1242.650390625
133,minmax,random_forest,100,log_loss,20,balanced_subsample,42,0.2119450569152832,0.9966163265306123,0.9950769230769231,0.9959250203748982,0.9975510204081632,0.9967373572593801,0.0701444453085903,0.9867177660703162,0.986712321766239,0.9925255102040816,1222,395,5,3,0.9875,0.9975510204081632,0.2550769230769231,0.3243683781581092,0.010051020408163192,0.010051020408163237,0.010051020408163266,0.25,0.49246231155778897,0.0034627088171091946,0.9918500407497963,0.002551412872841441,0.9401964285714285,0.006052738461538461,0.9975510204081632,0.9875,1.0,1.0,1.0,1.0,1.0,0.004923076923076919,0.0032626427406199365,0.003383673469387727,0.9996920708237106,0.9929194764321055,12.5,8346.46875,66.2,415377.390625,4231.0966796875,1242.650390625
134,minmax,random_forest,100,log_loss,20,balanced,42,0.17367768287658691,0.9965887755102041,0.9938461538461538,0.9943043124491456,0.9975510204081632,0.9959250203748982,0.07048344781660229,0.9833841197973131,0.9833623425821645,0.9900255102040816,1222,393,7,3,0.9825,0.9975510204081632,0.25630769230769235,0.32221318144833194,0.015051020408163196,0.015051020408163238,0.015051020408163267,0.4,0.49242424242424243,0.001880070024903202,0.9886086248982913,0.003820643642072241,0.939355612244898,0.006161353846153846,0.9975510204081632,0.9825,0.999692118226601,0.9997958767095325,1.0,0.9995918367346939,1.0,0.005845964380447155,0.003870856334634354,0.0034112244897959165,0.9996920708237106,0.9929194764321055,11.2,8337.671875,66.1,415377.39453125,4231.1005859375,1242.658203125
135,minmax,random_forest,100,log_loss,20,None,42,0.17306804656982422,0.9975826530612244,0.9944615384615385,0.995114006514658,0.9975510204081632,0.9963310232368529,0.05171518139357854,0.9850509954968912,0.9850387458121276,0.9912755102040816,1222,394,6,3,0.985,0.9975510204081632,0.25569230769230766,0.3232899022801303,0.01255102040816325,0.012551020408163263,0.012551020408163265,0.3333333333333333,0.4924433249370277,0.002670681577630285,0.990228013029316,0.003186028257456952,0.9394760204081634,0.006185784615384615,0.9975510204081632,0.985,1.0,1.0,1.0,1.0,1.0,0.005538461538461492,0.003668976763147147,0.0024173469387755997,0.9996920708237106,0.99384283746627,15.9,8337.15625,66.1,415377.40234375,4231.9970703125,1242.673828125
136,minmax,random_forest,200,gini,3,balanced_subsample,42,0.2861912250518799,0.9951775510204081,0.9852307692307692,0.994238683127572,0.9861224489795918,0.9901639344262295,0.11646789537396475,0.9606661823418633,0.9605363015431319,0.9843112244897959,1208,393,7,17,0.9825,0.9861224489795918,0.24769230769230766,0.3374485596707819,0.0036224489795917414,0.003622448979591783,0.0036224489795918385,0.4166666666666667,0.4585365853658536,0.0357020977617184,0.988477366255144,0.0009195447409733326,0.797860271860309,0.021571240117381457,0.9861224489795918,0.9825,0.9898399014778325,0.9932529135146186,0.9975234457526788,0.9946764946764947,0.9918334013883218,0.0046091322470632745,0.003088979088389121,0.002345894732270759,0.9906081601231717,0.9873776034599584,11.7,8315.953125,66.0,415378.43359375,4231.9990234375,1242.6865234375
137,minmax,random_forest,200,gini,3,balanced,42,0.23629498481750488,0.9951224489795918,0.9852307692307692,0.994238683127572,0.9861224489795918,0.9901639344262295,0.11612834965176037,0.9606661823418633,0.9605363015431319,0.9843112244897959,1208,393,7,17,0.9825,0.9861224489795918,0.24769230769230766,0.3374485596707819,0.0036224489795917414,0.003622448979591783,0.0036224489795918385,0.4166666666666667,0.4585365853658536,0.0357020977617184,0.988477366255144,0.0009195447409733326,0.7983508960035274,0.021476927905295186,0.9861224489795918,0.9825,0.9901477832512315,0.9934587080948487,0.9976047028978137,0.9946786737617683,0.9922417313189057,0.004917014020462296,0.0032947736686191886,0.0024822539182218772,0.9903002309468821,0.9873776034599584,20.0,8476.125,66.9,415378.46484375,4232.0126953125,1242.703125
138,minmax,random_forest,200,gini,3,None,42,0.23090410232543945,0.9951102040816328,0.9864615384615385,0.984689766317486,0.9975510204081632,0.9910786699107867,0.10151824951336945,0.9633707716546442,0.963022341745966,0.9750255102040817,1222,381,19,3,0.9525,0.9975510204081632,0.26369230769230767,0.30942788074133765,0.04505102040816322,0.045051020408163236,0.045051020408163264,0.7272727272727273,0.4921875,0.007497733682514052,0.9693795326349719,0.01143602825745682,0.7734695131988422,0.019837698565860745,0.9975510204081632,0.9525,0.9873768472906403,0.9916785061903796,0.9970880301070498,0.9858757062146892,0.9975500204164965,0.0009153088291018463,0.0005998362795928136,0.001977826025417073,0.9879907621247114,0.9842980265789162,0.0,8416.15625,66.5,415378.546875,4232.015625,1242.70703125
139,minmax,random_forest,200,gini,10,balanced_subsample,42,0.4421241283416748,0.997087755102041,0.9938461538461538,0.9943043124491456,0.9975510204081632,0.9959250203748982,0.05397234674814637,0.9833841197973131,0.9833623425821645,0.9900255102040816,1222,393,7,3,0.9825,0.9975510204081632,0.25630769230769235,0.32221318144833194,0.015051020408163196,0.015051020408163238,0.015051020408163267,0.4,0.49242424242424243,0.001880070024903202,0.9886086248982913,0.003820643642072241,0.9320304213440914,0.006527717513880326,0.9975510204081632,0.9825,1.0,1.0,1.0,1.0,1.0,0.006153846153846176,0.004074979625101838,0.0029122448979590487,1.0,0.9926116894207175,14.9,8461.5,66.7,415375.63671875,4232.015625,1242.70703125
140,minmax,random_forest,200,gini,10,balanced,42,0.3762321472167969,0.9968632653061225,0.9944615384615385,0.995114006514658,0.9975510204081632,0.9963310232368529,0.054132027402061286,0.9850509954968912,0.9850387458121276,0.9912755102040816,1222,394,6,3,0.985,0.9975510204081632,0.25569230769230766,0.3232899022801303,0.01255102040816325,0.012551020408163263,0.012551020408163265,0.3333333333333333,0.4924433249370277,0.002670681577630285,0.990228013029316,0.003186028257456952,0.9323867619440342,0.006521115153112292,0.9975510204081632,0.985,1.0,1.0,1.0,1.0,1.0,0.005538461538461492,0.003668976763147147,0.003136734693877541,1.0,0.9923033334869423,12.5,8409.953125,66.5,415375.6875,4232.041015625,1242.7119140625
141,minmax,random_forest,200,gini,10,None,42,0.3982369899749756,0.9967255102040817,0.9950769230769231,0.9951179820992677,0.9983673469387755,0.9967400162999185,0.038193062439932465,0.986711724971285,0.9866898740657315,0.9916836734693877,1223,394,6,2,0.985,0.9983673469387755,0.25630769230769235,0.32221318144833194,0.013367346938775504,0.013367346938775518,0.01336734693877551,0.5,0.4949494949494949,0.00016848714977280022,0.9902359641985354,0.003393249607535398,0.9326823573882321,0.0064216153192911745,0.9983673469387755,0.985,0.9990763546798029,0.9993878800244848,1.0,0.9987765089722676,1.0,0.003999431602879855,0.0026478637245662684,0.0032744897959182673,0.9995381062355658,0.9929194764321055,13.3,8475.90625,66.8,415375.640625,4233.0185546875,1242.728515625
