workflowId,criterion,fairness method,random state,max depth,normalization,n estimators,Predictive Equality,Overall Accuracy Equality,Conditional Use Accuracy Equality,system_system_memory_usage_percentage,Balance for Negative Class,learning_curve_train_score,Recall,system_system_memory_usage_megabytes,Test Fairness,system_disk_usage_percentage,Statistical Parity,Conditional Statistical Parity,AUC-ROC,learning_curve_test_score,Well Calibration,Matthews Corrcoef,system_network_transmit_megabytes,Equal Negative Predictive Value,Cohen Kappa,Equal Opportunity,Equalized Odds,Balance for Positive Class,system_disk_usage_megabytes,system_disk_available_megabytes,Accuracy,F1 Score,Log Loss,Treatment Equality,Precision,Disparate Impact,system_cpu_utilization_percentage,system_network_receive_megabytes
9183607e695245d080020df021ecbc3d,entropy,disparate_impact_remover,17,20,standard,100,0.32311627793662645,0.40535320742836445,0.8713207093528363,29.7,0.9921722896039176,0.9651176470588236,0.6468401486988847,30097.6,0.3023255813953488,99.9,0.8056656458295802,0.3360517002615787,0.919418875769011,0.852470588235294,0.3986123151018957,0.6224378135171351,5.242005000007339,0.4137953099283335,0.6180494465328699,0.9494851994851996,0.8713207093528363,0.15659722643006874,18199.8,17.6,0.863593603010348,0.7058823529411765,0.305327127430211,0.2951816658022374,0.7767857142857143,0.3360517002615787,4.2,5.249088999989908
785ead0af11043e1bc46f834d1fb3303,entropy,none,17,20,standard,100,0.33029663966855144,0.4054106445917069,0.9032179032783226,29.9,0.9591137509004196,0.9633529411764705,0.654275092936803,30266.9,0.3589743589743589,99.9,0.8083158617698092,0.3472534236036313,0.9182717968406168,0.8512941176470589,0.3991511536598711,0.630677156735474,8.29055099998368,0.41334506246445907,0.6264378625591478,0.979386385426654,0.9032179032783226,0.1551899240281613,18199.8,17.6,0.8664158043273753,0.7125506072874493,0.3359093947034844,0.3177831986943243,0.7822222222222223,0.3472534236036313,17.5,7.595832999999402
8572f77242df431f8ddbc875510723f7,entropy,relabel_data,17,20,none,100,0.5612444843551634,0.5655747324424282,0.2877180781860828,29.7,0.520196858481802,0.9423529411764706,0.4481707317073171,30089.1,0.243161094224924,99.9,0.8455865719585577,0.4552274541101356,0.7914364526298324,0.7917647058823528,0.6583299924696931,0.3999611176225641,26.88825099999667,0.5584900667643707,0.38569930812682596,0.3005366726296959,0.2877180781860828,0.3436141544288213,18199.8,17.6,0.761994355597366,0.5374771480804388,0.4937397040467982,0.9138152239341568,0.6712328767123288,0.4552274541101356,4.7,26.88671299998532
2aa14458f3984107bf9aeb5d7719086e,entropy,disparate_impact_remover,17,20,none,100,0.32311627793662645,0.40535320742836445,0.8713207093528363,29.9,0.9921722896039176,0.9630588235294117,0.6468401486988847,30244.6,0.30952380952380953,99.9,0.8056656458295802,0.3360517002615787,0.919461013362299,0.8512941176470588,0.3994312208960823,0.6224378135171351,5.215337000001455,0.4137953099283335,0.6180494465328699,0.9494851994851996,0.8713207093528363,0.15659722643006874,18199.8,17.6,0.863593603010348,0.7058823529411765,0.3052737454084053,0.2951816658022374,0.7767857142857143,0.3360517002615787,13.5,5.2130229999893345
9130ca04aba64af3bf9fb7e3446f7810,entropy,none,17,20,none,100,0.33780338147920036,0.4066976625110456,0.8753127253209002,29.9,0.9878301789273138,0.9645882352941175,0.6468401486988847,30253.0,0.33333333333333337,99.9,0.8086831201585299,0.33955223880597013,0.9182858427050463,0.8494117647058823,0.40183750301725546,0.6271855634063113,5.066739000001689,0.4140633911935815,0.6223350733048942,0.9494851994851996,0.8753127253209002,0.16371528217689002,18199.8,17.6,0.8654750705550329,0.7087576374745418,0.3359270743723519,0.3085990142477937,0.7837837837837838,0.33955223880597013,12.8,5.065748999972129
2e97c80193674792b8bf7e1637f3bb88,entropy,relabel_data,17,20,standard,50,0.5724693740422665,0.55995130553968,0.3190660520365535,29.9,0.5337984397456499,0.9395294117647058,0.45426829268292684,30246.7,0.3039664378337147,99.9,0.8494836159632794,0.47533333333333333,0.7886738841878215,0.7917647058823529,0.667665369556801,0.40334021991386354,5.062852000002749,0.5546616179291581,0.38982911862383773,0.3339296362552177,0.3190660520365535,0.38942937501933084,18199.8,17.6,0.7629350893697083,0.5418181818181819,0.49742331582449434,0.9172281659469828,0.6711711711711712,0.47533333333333333,13.3,5.061742000019876
a6ca1a915405434083ac6b6e2201f907,entropy,disparate_impact_remover,17,20,standard,50,0.22750023650640025,0.40212778758489753,0.8852916594894074,29.9,0.9597263792420276,0.9618235294117646,0.6579925650557621,30225.3,0.2702702702702703,99.9,0.7981219600072059,0.3276081902047551,0.9202452407929358,0.8508235294117646,0.38758622094459044,0.6265777830729742,5.22473099999479,0.41352144042646627,0.6231350265404804,0.9728571428571429,0.8852916594894074,0.10760840849096927,18199.8,17.6,0.8645343367826905,0.7108433734939759,0.304470887161266,0.21607511449682767,0.7729257641921398,0.3276081902047551,27.5,5.221717000007629
64a88f33ea9d413f92c93c91feff10af,entropy,none,17,20,standard,50,0.23223982476695024,0.40019734902166737,0.8924040928982347,29.6,0.8749991069802777,0.9610588235294116,0.654275092936803,29988.6,0.3142857142857143,99.9,0.8052884615384616,0.34371002132196166,0.9175695036191511,0.8503529411764706,0.39611146894757665,0.6259710488739406,5.067173000017647,0.41074811887619767,0.6221582634366931,0.9779735682819383,0.8924040928982347,0.10451466674685389,18199.8,17.6,0.8645343367826905,0.7096774193548387,0.3647106493122627,0.2424706540518379,0.775330396475771,0.34371002132196166,4.4,5.065974999975879
4a01c7ae52e644359eca6561643f8d6e,entropy,relabel_data,17,20,none,50,0.5612444843551634,0.5609388739797853,0.3211110418116046,29.6,0.5325824979694639,0.9415882352941176,0.45426829268292684,30004.2,0.3216374269005848,99.9,0.8510773938543924,0.4779888268156424,0.7890098722415795,0.7908235294117647,0.6686245868985252,0.40556020508374363,5.066466999996919,0.5548869050433103,0.39168648301114195,0.3339296362552177,0.3211110418116046,0.3817935049209126,18199.8,17.6,0.7638758231420508,0.5428051001821493,0.49745036192937464,0.9355727292659224,0.6742081447963801,0.4779888268156424,4.1,5.06544499998563
e06be28941a94caaa6d8568bf9a88f93,entropy,disparate_impact_remover,17,20,none,50,0.22750023650640025,0.4014598012267831,0.8918209020589185,29.7,0.9474221948927709,0.9623529411764705,0.654275092936803,30115.9,0.2702702702702703,99.9,0.7996306971716808,0.32926277702397105,0.9204465648497561,0.8484705882352941,0.38805217109667833,0.6236366968296819,5.212557999999262,0.4127412112935861,0.6200267720456456,0.979386385426654,0.8918209020589185,0.10689101910102945,18199.8,17.6,0.863593603010348,0.7082494969818913,0.3042315876739282,0.2188812848149683,0.7719298245614035,0.32926277702397105,21.8,5.209444000007352
