workflowId,criterion,fairness method,max depth,model type,n estimators,normalization,random state,splitter,AUC-ROC,Accuracy,Balance for Negative Class,Balance for Positive Class,Cohen Kappa,Conditional Statistical Parity,Conditional Use Accuracy Equality,Disparate Impact,Equal Negative Predictive Value,Equal Opportunity,Equalized Odds,F1 Score,Log Loss,Matthews Corrcoef,Overall Accuracy Equality,Precision,Predictive Equality,Recall,Test Fairness,Treatment Equality,Well Calibration,learning_curve_train_score,system_cpu_utilization_percentage,system_network_receive_megabytes,system_network_transmit_megabytes,system_system_memory_usage_megabytes,system_system_memory_usage_percentage,cluster
bc6c650db9dc43e193c957c4ee234747,entropy,disparate_impact_remover,10,random_forest,20,maxabs,17,basic,0.9175952543706049,0.8617121354656632,0.974214791538242,0.0939642141323066,0.6024368586962883,0.3174241153781653,0.8621779272920823,0.3174241153781653,0.4104480570975416,0.9331963001027748,0.8621779272920823,0.6892177589852009,0.326646712807485,0.6119669505629847,0.4040087523456832,0.7990196078431373,0.1905557536549335,0.6059479553903345,0.25,0.1723676127040221,0.3813671822738605,0.8767647058823529,27.8,5.166207000000213,5.165511000000151,13952.4,13.8,1
48d25d7b5d0942b2a0dc8b9757d21256,gini,disparate_impact_remover,10,random_forest,20,maxabs,17,basic,0.9082172988866312,0.8532455315145814,0.9219500495029284,0.1110518775626802,0.5682934067822203,0.3047688387331634,0.8168106203657453,0.3047688387331634,0.4076447424769425,0.8798449612403101,0.8168106203657453,0.6578947368421053,0.3342586021289837,0.5835157135302982,0.4038213042812709,0.8021390374331551,0.2123335540726402,0.5576208178438662,0.2166666666666666,0.1833364607851871,0.4149869624557324,0.881,27.4,5.187342999999601,5.186530999999377,13962.6,13.8,1
a33e260032f343c9a23b67d6b57f41bd,entropy,disparate_impact_remover,5,random_forest,20,maxabs,17,basic,0.8988393434026576,0.8344308560677328,0.6830114349180211,0.0,0.4772209057987213,0.1347680203632997,0.360182172370879,0.1347680203632997,0.4106787685184843,0.4040943480195816,0.360182172370879,0.5665024630541872,0.379241474611565,0.5187582509655745,0.4122474480267643,0.8394160583941606,0.0,0.4275092936802974,0.4174603174603175,0.0,0.4551968246951829,0.8358823529411765,27.3,5.1810199999999895,5.180293999999776,13977.2,13.8,3
c395d7e6d11645b185b10a78f985d95d,gini,disparate_impact_remover,5,random_forest,20,maxabs,17,basic,0.8972264099706909,0.8287864534336783,0.6959679985304779,0.0,0.4625526429833431,0.1307148468185389,0.3540143432810927,0.1307148468185389,0.4091239803876394,0.407906558849955,0.3540143432810927,0.5560975609756098,0.3804955343591831,0.4996184688388803,0.4080264843950908,0.8085106382978723,0.0,0.4237918215613382,0.3607843137254902,0.0,0.4604605919836513,0.8371176470588235,15.6,5.173333000000639,5.1726049999997485,13954.6,13.8,3
8e9129014f3141c2ab7c9c9bea4af0c5,entropy,disparate_impact_remover,30,random_forest,200,minmax,17,basic,0.914734579981834,0.8494825964252116,0.9023241209128948,0.1129476672292097,0.5866045082664515,0.3238805970149254,0.8846067603695483,0.3238805970149254,0.4095797734339124,0.9927113702623906,0.8846067603695483,0.6850393700787402,0.3154173158760143,0.5883746652224011,0.3933488402898048,0.7280334728033473,0.2436614554931937,0.6468401486988847,0.4594594594594594,0.240441260046147,0.3819940344686016,0.9905882352941175,8.0,54.41184200000043,54.41075399999954,13848.2,13.7,4
23415a4b013e47c8b070ea1d4a5ea611,gini,disparate_impact_remover,30,random_forest,200,minmax,17,basic,0.9117638796550336,0.8570084666039511,0.8829353381494772,0.1189356093847555,0.6072742828531289,0.3359434710505444,0.8910688493560608,0.3359434710505444,0.41115299699404,0.9911894273127754,0.8910688493560608,0.7007874015748031,0.3743760346994911,0.6091068135971195,0.3967838967199819,0.7447698744769874,0.260760505001488,0.6617100371747212,0.4285714285714286,0.265355403768034,0.3708646381627279,0.9919411764705884,3.8,36.61901599999965,36.61801199999991,13842.9,13.7,4
003538bdded64b49ae7c6a873f73b8b5,entropy,disparate_impact_remover,20,random_forest,200,minmax,17,basic,0.9175180021162436,0.863593603010348,0.9428196798491468,0.147588875343075,0.6190406750420789,0.3454726368159204,0.905843362887466,0.3454726368159204,0.4123042508625193,0.9860038610038612,0.905843362887466,0.7070707070707071,0.3091163325760808,0.6230293537866536,0.4034003438747231,0.7743362831858407,0.3162414635124429,0.6505576208178439,0.3249999999999999,0.3081612851495698,0.3993605280820299,0.9645882352941176,4.5,40.045255999999426,40.044119999999566,13810.3,13.6,4
55a9de8ae9cd4d2c975b93d90dbf565d,gini,disparate_impact_remover,20,random_forest,200,minmax,17,basic,0.9194797411815382,0.8711194731890874,0.986875292133122,0.0767861040636268,0.6419176930245367,0.3135367936437216,0.8606016894766065,0.3135367936437216,0.4168570039870339,0.9475881261595548,0.8606016894766065,0.7254509018036072,0.3067005078656216,0.6452789670550226,0.4048585494262459,0.7869565217391304,0.1581207317562214,0.6728624535315985,0.4651162790697675,0.142378315290624,0.3855098843835133,0.97,3.8,43.05427200000031,43.05316800000037,13798.8,13.6,4
d914c36673ff4d03b981bb670b991839,entropy,disparate_impact_remover,10,random_forest,200,minmax,17,basic,0.9148797205809368,0.8598306679209784,0.9670077586891618,0.1053252387803782,0.5915723948354423,0.3214695752009184,0.8646486726293442,0.3214695752009184,0.4086544583658354,0.927683013503909,0.8646486726293442,0.6781857451403888,0.3284855521388374,0.6044845494705633,0.4046210360298342,0.8092783505154639,0.2123335540726402,0.5836431226765799,0.3269230769230768,0.1922965133799519,0.4075393250980744,0.8798235294117648,3.9,10.11644299999989,10.115550999999869,13797.8,13.6,1
4a84bbf09bf94cce95f495e88119a21e,gini,disparate_impact_remover,10,random_forest,200,minmax,17,basic,0.9145262329927992,0.8560677328316086,0.9663492321509376,0.1384113154215092,0.5828667571179056,0.3431264728986645,0.9096859857670346,0.3431264728986645,0.4062486606441289,0.9752953813104188,0.9096859857670346,0.6723768736616702,0.3278497863426863,0.5941035460528291,0.4019235624563019,0.7929292929292929,0.2933555681266739,0.5836431226765799,0.3720930232558139,0.283447817661309,0.4146603861690135,0.8839411764705882,4.0,10.35609100000056,10.355231000000458,13824.9,13.7,1
ab3e1ce852c1473fb473747548974b7e,entropy,disparate_impact_remover,5,random_forest,200,minmax,17,basic,0.897554146807375,0.8306679209783632,0.6763961683740768,0.1596490304861852,0.4715415718420646,0.1438103599648814,0.346200526540976,0.1438103599648814,0.4113436631630124,0.3966797728265618,0.346200526540976,0.5652173913043478,0.3811649862140167,0.5062828301902924,0.4115040894316307,0.8068965517241379,0.1376235998618964,0.4349442379182156,0.4779264214046823,0.0883729672085461,0.4562625670966136,0.8391764705882354,3.7,6.185765999999603,6.184842000000572,13825.1,13.7,3
7e8e923849a64d85a795cfdd894c3b36,gini,disparate_impact_remover,5,random_forest,200,minmax,17,basic,0.899710186997275,0.8306679209783632,0.6593208052194279,0.0,0.4700045980577361,0.1118525021949078,0.2932025856543793,0.1118525021949078,0.4124547277277652,0.3470948012232415,0.2932025856543793,0.5631067961165048,0.3787740055540591,0.5061246100591588,0.4115040894316307,0.8111888111888111,0.0,0.4312267657992565,0.4461538461538462,0.0,0.4517431553040502,0.8401764705882353,30.0,5.18197599999985,5.181216000000859,13936.0,13.8,3
